ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period
0,0,0,0,0,0,0,0,11,101,36,21,2021-07-30T22:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,11,104,29,20,2021-07-30T22:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,11,106,22,20,2021-07-30T23:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,11,107,15,20,2021-07-30T23:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,108,8,20,2021-07-31T00:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,108,0,20,2021-07-31T00:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,108,-7,21,2021-07-31T01:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,107,-15,22,2021-07-31T01:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,106,-22,22,2021-07-31T02:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,104,-29,24,2021-07-31T02:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,101,-36,25,2021-07-31T03:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,99,-43,25,2021-07-31T03:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,95,-49,28,2021-07-31T04:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,10,92,-55,29,2021-07-31T04:30:00.0000000Z,PT30M
9,12,2,1,6,0,8,8,11,88,-61,29,2021-07-31T05:00:00.0000000Z,PT30M
33,48,7,3,18,0,59,29,11,84,-67,31,2021-07-31T05:30:00.0000000Z,PT30M
68,100,12,7,40,0,190,61,11,80,-73,32,2021-07-31T06:00:00.0000000Z,PT30M
109,166,20,12,46,0,255,98,12,75,-78,34,2021-07-31T06:30:00.0000000Z,PT30M
154,238,25,19,58,0,378,135,12,71,-84,35,2021-07-31T07:00:00.0000000Z,PT30M
198,314,29,23,57,0,439,174,14,66,-90,37,2021-07-31T07:30:00.0000000Z,PT30M
237,389,31,28,59,0,524,209,14,62,-96,39,2021-07-31T08:00:00.0000000Z,PT30M
270,461,28,28,51,0,563,242,16,57,-103,41,2021-07-31T08:30:00.0000000Z,PT30M
297,531,27,27,45,0,611,270,17,53,-110,44,2021-07-31T09:00:00.0000000Z,PT30M
319,594,29,25,40,0,641,293,17,49,-117,46,2021-07-31T09:30:00.0000000Z,PT30M
337,649,32,25,35,0,666,312,17,45,-125,48,2021-07-31T10:00:00.0000000Z,PT30M
351,697,35,23,31,0,685,328,17,42,-134,50,2021-07-31T10:30:00.0000000Z,PT30M
361,727,37,22,28,0,699,339,17,39,-144,51,2021-07-31T11:00:00.0000000Z,PT30M
369,746,38,22,27,0,676,348,17,36,-155,51,2021-07-31T11:30:00.0000000Z,PT30M
378,759,39,22,27,0,674,356,17,35,-167,51,2021-07-31T12:00:00.0000000Z,PT30M
384,765,39,23,28,0,682,361,17,34,-180,51,2021-07-31T12:30:00.0000000Z,PT30M
389,766,39,25,32,0,699,363,17,35,168,50,2021-07-31T13:00:00.0000000Z,PT30M
