,timestamp,PV_obs
112,2021-07-04 07:00:00+00:00,0.0393538
113,2021-07-04 08:00:00+00:00,0.085617
114,2021-07-04 09:00:00+00:00,0.0500367
115,2021-07-04 10:00:00+00:00,0.0852441
116,2021-07-04 11:00:00+00:00,0.542765
117,2021-07-04 12:00:00+00:00,0.963924
118,2021-07-04 13:00:00+00:00,1.00682
119,2021-07-04 14:00:00+00:00,0.821284
120,2021-07-04 15:00:00+00:00,0.876076
121,2021-07-04 16:00:00+00:00,1.22991
122,2021-07-04 17:00:00+00:00,0.261279
123,2021-07-04 18:00:00+00:00,1.12668
124,2021-07-04 19:00:00+00:00,0.615935
125,2021-07-04 20:00:00+00:00,0.0992463
126,2021-07-04 21:00:00+00:00,-0.0663757
127,2021-07-04 22:00:00+00:00,0.0229073
128,2021-07-04 23:00:00+00:00,0.00787354
129,2021-07-05 00:00:00+00:00,0.00733185
130,2021-07-05 01:00:00+00:00,0.00739288
131,2021-07-05 02:00:00+00:00,0.00756836
132,2021-07-05 03:00:00+00:00,0.00831187
133,2021-07-05 04:00:00+00:00,-0.0530486
134,2021-07-05 05:00:00+00:00,-0.359642
135,2021-07-05 06:00:00+00:00,-0.329367
136,2021-07-05 07:00:00+00:00,-0.212946
137,2021-07-05 08:00:00+00:00,-0.63037
138,2021-07-05 09:00:00+00:00,-0.329614
139,2021-07-05 10:00:00+00:00,0.0258469
140,2021-07-05 11:00:00+00:00,0.385605
141,2021-07-05 12:00:00+00:00,0.792669
142,2021-07-05 13:00:00+00:00,0.922485
143,2021-07-05 14:00:00+00:00,0.692116
144,2021-07-05 15:00:00+00:00,0.676457
145,2021-07-05 16:00:00+00:00,1.00292
146,2021-07-05 17:00:00+00:00,0.438007
147,2021-07-05 18:00:00+00:00,0.0198758
148,2021-07-05 19:00:00+00:00,0.235282
149,2021-07-05 20:00:00+00:00,0.209192
150,2021-07-05 21:00:00+00:00,0.0238953
151,2021-07-05 22:00:00+00:00,0.00769424
152,2021-07-05 23:00:00+00:00,0.0122681
153,2021-07-06 00:00:00+00:00,0.0112076
154,2021-07-06 01:00:00+00:00,0.011055
155,2021-07-06 02:00:00+00:00,0.0106201
156,2021-07-06 03:00:00+00:00,0.0106678
157,2021-07-06 04:00:00+00:00,0.000107826
158,2021-07-06 05:00:00+00:00,-0.0198757
159,2021-07-06 06:00:00+00:00,-0.192822
160,2021-07-06 07:00:00+00:00,-0.131892
161,2021-07-06 08:00:00+00:00,-0.0502191
162,2021-07-06 09:00:00+00:00,-0.0260637
163,2021-07-06 10:00:00+00:00,0.00266994
164,2021-07-06 11:00:00+00:00,0.409765
165,2021-07-06 12:00:00+00:00,0.652791
166,2021-07-06 13:00:00+00:00,0.771212
167,2021-07-06 14:00:00+00:00,0.381741
